date,token_flows,buys,sells,buy_bnb,sell_bnb
2026-03-17,104,39,65,14.232000000000001,22.015317404113926
2026-03-18,117,51,66,19.743000000000002,21.533040240260238
2026-03-19,90,32,58,16.330000000000002,16.00362358096497
2026-03-20,125,49,76,23.529999999999998,23.59907506308232
2026-03-21,148,66,82,32.29,27.954207717850302
2026-03-22,171,66,105,25.019999999999996,29.964109928500218
2026-03-23,181,77,104,35.54000000000001,40.720161813629176
2026-03-24,129,60,69,36.790000000000006,34.78675093725383
2026-03-25,144,48,96,19.880000000000003,24.82272385758045
2026-03-26,114,50,64,26.469999999999995,22.083940102394806
2026-03-27,100,36,64,17.089999999999996,19.158148890038532
2026-03-28,87,42,45,18.18,15.400337733782598
2026-03-29,133,44,89,25.129999999999995,27.70826267678443
2026-03-30,131,49,82,23.49,25.753678452258622
2026-03-31,119,47,72,23.229999999999993,23.2255711475731
2026-04-01,123,38,85,20.549999999999994,24.060431661052817
2026-04-02,62,33,29,19.66,12.065830298917625
2026-04-03,62,24,38,19.42,15.003080762497865
2026-04-04,7,4,3,1.5,0.9367542045156144
2026-04-05,4,0,4,0.0,10.955554952142426
2026-04-06,44,23,21,8.71,6.3594344768035365
2026-04-07,58,10,48,5.140000000000001,7.300631819133251
2026-04-08,62,25,37,10.700000000000001,15.287983862065934
2026-04-09,95,29,66,12.23,14.974705510479993
2026-04-10,70,23,47,9.570000000000002,8.2458990063841
2026-04-11,88,33,55,9.64,10.334666544036933
2026-04-12,69,26,43,12.48,11.679506859216115
2026-04-13,74,25,49,12.98,12.14379241578914
2026-04-14,135,52,83,37.91,24.155942910898144
2026-04-15,183,55,128,26.56999999999999,38.022368925956215
2026-04-16,106,41,65,25.209999999999997,24.764709347225793
2026-04-17,123,47,76,19.629999999999995,21.970132701720708
2026-04-18,61,29,32,14.450000000000001,15.409667691124822
2026-04-19,136,45,91,20.73,19.9540514900248
2026-04-20,4,3,1,1.0,0.38423762376237625
2026-04-21,30,16,14,7.9,8.092422030297492
2026-04-22,41,20,21,12.709999999999999,8.48853351533256
2026-04-23,82,27,55,13.639999999999999,15.894502136021039
2026-04-24,73,29,44,16.13,15.083333534824352
2026-04-25,17,9,8,5.449999999999999,3.782654254102236
2026-04-26,6,6,0,4.2,0.0
2026-04-27,35,16,19,8.13,7.463325107155853
2026-04-28,23,10,13,5.1,4.4424539495435145
2026-04-29,3,1,2,0.4,0.42604062137740634
2026-04-30,8,4,4,1.9699999999999998,1.5526745005473859
2026-05-01,96,7,89,4.28,14.02716674076564
2026-05-02,43,22,21,10.92,8.214349243412988
2026-05-03,57,28,29,16.44,15.259280947051431
2026-05-04,94,48,46,23.4,16.87985824042608
2026-05-05,70,35,35,16.87,14.227628978080228
2026-05-06,131,51,80,25.969999999999995,26.209083713916424
2026-05-07,107,31,76,16.65,26.086414116773724
2026-05-08,100,43,57,21.679999999999996,20.679516549939198
2026-05-09,66,25,41,10.370000000000001,11.187417899074305
2026-05-10,34,14,20,5.9700000000000015,7.517320426996347
2026-05-11,90,27,63,13.16,19.77933424473207
2026-05-12,46,24,22,11.76,8.020676449088018
2026-05-13,13,2,11,1.1,3.664376919252868
2026-05-14,67,26,41,12.540000000000001,14.757954240945194
2026-05-15,43,13,30,14.41,14.721798010658096
2026-05-16,45,18,27,8.200000000000001,9.354835370685784
2026-05-17,48,23,25,10.14,9.79727015575097
2026-05-18,25,16,9,7.1,2.7066827575367203
2026-05-19,78,45,33,9.47,11.060377574239643
2026-05-20,81,13,68,6.000000000000001,11.39352053941412
2026-05-21,22,10,12,5.48,5.656597647587385
2026-05-22,93,39,54,16.75,18.389700612329687
2026-05-23,52,21,31,8.614992965,9.162110963450239
2026-05-24,109,37,72,16.82,16.916310623070924
2026-05-25,108,45,63,23.799999999999997,22.545730774864055
2026-05-26,91,36,55,19.51,16.60261809265143
2026-05-27,121,56,65,27.5,28.010125748321656
2026-05-28,92,37,55,18.36,18.376847731401572
2026-05-29,150,49,101,28.79,36.43407614405645
2026-05-30,166,59,107,47.48,51.777936097263456
2026-05-31,211,78,133,49.85000000000001,48.93515272044134
2026-06-01,90,28,62,16.8,20.7243733538141
