first_buy_bucket,holding_window,tokens,win_rate,total_pnl_bnb,avg_pnl_bnb,median_pnl_bnb,avg_roi,max_pnl_bnb,max_loss_bnb
100k-200k,1h-6h,2,0.0,-4.807796340462404,-2.403898170231202,-2.403898170231202,-0.778289186751117,-0.7195453752899323,-4.088250965172471
100k-200k,6h-24h,3,0.0,-1.999743085476998,-0.6665810284923327,-0.77115307911743,-0.3477743864239413,-0.3085106528442441,-0.920079353515324
100k-200k,1d-3d,1,0.0,-0.8596437448355393,-0.8596437448355393,-0.8596437448355393,-0.7163697873629494,-0.8596437448355393,-0.8596437448355393
100k-200k,3d-7d,2,0.5,0.24921390043160607,0.12460695021580304,0.12460695021580304,1.2020730330185003,1.4528254363308408,-1.2036115358992348
100k-200k,7d+,7,0.42857142857142855,0.22407448789006135,0.03201064112715162,-0.3926043604092862,-0.22989076733146582,3.0723910184035117,-1.6331382305388296
200k-1m,0-5m,9,0.4444444444444444,-1.370713778696907,-0.152301530966323,-0.025927996258949,-0.13384354324657807,0.7870350879827251,-1.20760412
200k-1m,5-30m,1,0.0,-4.08229296962395,-4.08229296962395,-4.08229296962395,-0.4535881077359944,-4.08229296962395,-4.08229296962395
200k-1m,1h-6h,1,0.0,-0.0231445533567841,-0.0231445533567841,-0.0231445533567841,-0.2314455335678416,-0.0231445533567841,-0.0231445533567841
200k-1m,6h-24h,2,1.0,0.40586226684230003,0.20293113342115002,0.20293113342115002,0.11659339239337209,0.3885198346250006,0.0173424322172994
200k-1m,3d-7d,1,0.0,-0.4539987890851238,-0.4539987890851238,-0.4539987890851238,-0.7566646484752064,-0.4539987890851238,-0.4539987890851238
200k-1m,7d+,3,0.6666666666666666,5.794633570553872,1.9315445235179574,1.8958863039748053,0.40306425815400687,4.027434746055407,-0.1286874794763403
1m-5m,0-5m,3,0.6666666666666666,-0.17547842589594498,-0.05849280863198166,0.0075757529273548,-0.2503288573706299,0.1169681114167002,-0.30002229024
1m-5m,1h-6h,1,1.0,0.7468387051473473,0.7468387051473473,0.7468387051473473,0.0829820783497052,0.7468387051473473,0.7468387051473473
1m-5m,3d-7d,1,0.0,-0.3623952938181448,-0.3623952938181448,-0.3623952938181448,-0.1811976469090724,-0.3623952938181448,-0.3623952938181448
5m+,0-5m,3,0.0,-2.3101464614399996,-0.7700488204799999,-0.30010498464,-1.0008783574600002,-0.01002275764,-2.00001871916
5m+,5-30m,1,0.0,-0.5014465531446448,-0.5014465531446448,-0.5014465531446448,-0.1002893106289289,-0.5014465531446448,-0.5014465531446448
5m+,1d-3d,1,0.0,-6.7470932268,-6.7470932268,-6.7470932268,-1.0000138175188973,-6.7470932268,-6.7470932268
5m+,7d+,1,0.0,-9.967738484367434,-9.967738484367434,-9.967738484367434,-0.9967738484367434,-9.967738484367434,-9.967738484367434
